,CacheUse,CacheTime,MemUseRead,MemUseWrite,MemTime,VirtUseRead,VirtUseWrite,VirtTime,CacheFault,PageFault,CacheFoundRatio,Compacts
Config1,22164,22164,1245600,1470880,27164800,1417216,1191936,260915200,1677,692,0.9243367623172712,0
Config2,22164,22164,1100192,1345952,24461440,1292288,1046528,233881600,1677,631,0.9243367623172712,0
Config3,22164,22164,2259360,4170144,64295040,4116480,2205696,632217600,1677,2010,0.9243367623172712,0
Config4,22164,22164,1239456,1599904,28393600,1546240,1185792,273203200,1677,755,0.9243367623172712,0
Config5,22164,22164,1161632,1413536,25751680,1359872,1107968,246784000,1677,664,0.9243367623172712,0
Config6,22164,22164,1106336,1583520,26898560,1529856,1052672,258252800,1677,747,0.9243367623172712,0
Config7,22164,22164,1194400,1411488,26058880,1357824,1140736,249856000,1677,663,0.9243367623172712,0
