,CacheUse,CacheTime,MemUseRead,MemUseWrite,MemTime,VirtUseRead,VirtUseWrite,VirtTime,CacheFault,PageFault,CacheFoundRatio,Compacts
Config1,22164,22164,1245600,1470880,27164800,1417216,1191936,260915200,1677,692,0.9243367623172712,0
Config2,22164,22164,1551968,2018912,35708800,1966080,1499136,346521600,1651,960,0.9255098357697167,0
Config3,22164,22164,1584768,2092672,36774400,2041856,1533952,357580800,1588,997,0.9283522829814113,0
Config4,22164,22164,1384512,1843264,32277760,1796096,1337344,313344000,1474,877,0.9334957588882873,0
Config5,22164,22164,981088,1462368,24434560,1421312,940032,236134400,1283,694,0.9421133369427901,0
