CacheUse,10
CacheTime10
MemUseRead,138
MemUseWrite,32
MemTime,1700
VirtUse,6
VirtTime,600
CacheFault,4
PageFault,6
CacheFoundRatio,1.0
MemFoundRatio,1.0
Compacts,0
